t,x,y,theta,s0,s1,s2,s3,error,P,I,D,pwm_l,pwm_r,vx,omega,on_line,estado,corr_bloqueada
0.17500000000000013,0.702850719298462,1.3885609568787751,-0.16680897431555558,769.0,815.0,164.0,140.0,-1344.2796610169491,-53.771186440677965,-0.0,-59.56355414025301,0.75,0.0,0.459069348721475,-0.9983993057394139,True,recuperacion,False
0.18000000000000013,0.7051163019734223,1.3881728279162229,-0.1749491830768549,696.0,838.0,127.0,147.0,-1304.203539823009,-52.16814159292036,-0.0,6.396857534551209,0.75,0.0,0.4601357527947462,-2.017454141596469,True,recuperacion,False
0.18500000000000014,0.7073827857921964,1.38776115870483,-0.18702180831500134,685.0,829.0,134.0,171.0,-1229.7965915338098,-49.19186366135239,-0.0,93.76613822122484,0.0,0.75,0.4610887757603603,-2.3001861582886844,True,recuperacion,False
0.19000000000000014,0.7096491945956513,1.3873248042944812,-0.19386524158854646,717.0,807.0,148.0,165.0,-1260.2068590092542,-50.40827436037017,-0.0,29.143975784324006,0.75,0.0,0.4619404724068309,-1.1524996745651166,True,desviado,False
0.19500000000000015,0.7119164867174522,1.3868722636804873,-0.20268058106730222,735.0,715.0,145.0,156.0,-1317.5328383780698,-52.70131353512279,-0.0,-48.39039219355183,0.75,0.0,0.4627016158459525,-2.1406835269383184,True,desviado,False
0.20000000000000015,0.7141823171793723,1.386394927518738,-0.215825263027945,702.0,700.0,153.0,148.0,-1297.1227246036406,-51.884908984145625,-0.0,-9.381138006171245,0.75,0.0,0.4633818337819026,-2.9309041452317417,True,recuperacion,False
0.20500000000000015,0.7164440349340473,1.3858838823676423,-0.23189981351139952,726.0,732.0,172.0,166.0,-1247.2160356347438,-49.88864142538975,-0.0,53.321230158356286,0.0,0.75,0.46398973029208235,-3.0306443872096187,True,recuperacion,False
0.21000000000000016,0.7187010478429704,1.385340112490196,-0.2419434648760585,746.0,757.0,161.0,156.0,-1300.0,-52.0,-0.0,-26.01589612745808,0.75,0.0,0.46453299466010073,-1.736624938208286,True,desviado,False
0.21500000000000016,0.7209551232685409,1.3847737786148513,-0.25331792158037963,768.0,758.0,167.0,163.0,-1296.3362068965516,-51.853448275862064,-0.0,-13.814575565082611,0.75,0.0,0.4650184986375312,-2.6077907619820553,True,recuperacion,False
0.22000000000000017,0.723203849735826,1.3841776795848415,-0.26850905187289403,772.0,748.0,171.0,161.0,-1301.2958963282938,-52.051835853131756,-0.0,-15.621830213648423,0.75,0.0,0.4654523833647049,-3.3044356163230044,True,desviado,False
0.22500000000000017,0.7254443992720658,1.3835440846816742,-0.28675226013191546,803.0,763.0,150.0,167.0,-1338.8210302708444,-53.552841210833776,-0.0,-55.965441880614634,0.75,0.0,0.46584013705000105,-3.861521351134557,True,desviado,False
0.23000000000000018,0.7276740552911226,1.3828669257408106,-0.3074361224574659,785.0,757.0,147.0,157.0,-1351.0292524377032,-54.04117009750813,-0.0,-53.82567591666084,0.75,0.0,0.4661866643902006,-4.30700589608842,True,desviado,False
0.23500000000000018,0.729890171065072,1.3821414890853105,-0.3300717017240096,798.0,732.0,171.0,144.0,-1367.479674796748,-54.69918699186992,-0.0,-57.41847997251629,0.75,0.0,0.46649634861000133,-4.663246358536956,True,desviado,False
0.24000000000000019,0.732090152598344,1.3813641653999311,-0.35426800975994344,797.0,786.0,168.0,146.0,-1355.2978386926727,-54.21191354770691,-0.0,-25.574732655871067,0.75,0.0,0.4667731069054315,-4.948121038305455,True,recuperacion,False
0.2450000000000002,0.7342714540651571,1.380532246984,-0.37918021000805524,738.0,771.0,177.0,164.0,-1251.8918918918919,-50.075675675675676,-0.0,106.18482330182728,0.0,0.75,0.4670204399924668,-4.643751479223336,True,recuperacion,False
0.25000000000000017,0.7364347676019836,1.3796514605718035,-0.3957588863245566,663.0,729.0,175.0,171.0,-1168.0092059838896,-46.72036823935559,-0.0,174.9885994008818,0.0,0.75,0.4672414763875903,-2.494402504401581,True,recuperacion,False
0.25500000000000017,0.7385877459282257,1.378742982846039,-0.402921027648355,685.0,733.0,173.0,168.0,-1200.1137009664583,-48.004548038658335,-0.0,83.96662560153486,0.0,0.75,0.46743901198040083,-0.775633399105035,True,desviado,False
0.2600000000000002,0.7407379142236424,1.3778255027816924,-0.4030852270826093,671.0,776.0,149.0,155.0,-1242.1473443746431,-49.68589377498573,-0.0,8.336265831252568,0.75,0.0,0.46761554539882366,0.06663887044326994,True,desviado,False
0.2650000000000002,0.7428882142929576,1.3769062314588292,-0.40655938609020564,729.0,772.0,133.0,156.0,-1317.31843575419,-52.6927374301676,-0.0,-84.36992357357944,0.75,0.0,0.4677733096142577,-1.1657754544088823,True,desviado,False
0.2700000000000002,0.7450338825507618,1.3759743614321938,-0.41543288822515106,757.0,771.0,149.0,183.0,-1260.215053763441,-50.40860215053764,-0.0,9.465111887393315,0.75,0.0,0.46791430018643315,-2.1512997649301395,True,recuperacion,False
0.2750000000000002,0.747170072261282,1.3750193684306848,-0.4286240810957075,795.0,772.0,158.0,157.0,-1343.251859723698,-53.730074388947926,-0.0,-93.01858883113331,0.75,0.0,0.4680403005052486,-2.9393936283675974,True,desviado,False
0.2800000000000002,0.7492925839495118,1.3740329735014618,-0.44526800013103607,807.0,805.0,159.0,154.0,-1353.2467532467533,-54.129870129870135,-0.0,-77.10688440945958,0.75,0.0,0.4681529043488718,-3.5696083586965477,True,desviado,False
0.2850000000000002,0.7513976699211637,1.3730087347121243,-0.46467295943045267,789.0,807.0,167.0,167.0,-1298.4455958549222,-51.93782383419689,-0.0,11.786569783575642,0.75,0.0,0.4682535360434415,-4.073571940637457,True,recuperacion,False
0.2900000000000002,0.7534819133651978,1.3719417086365908,-0.48628583878379533,828.0,832.0,147.0,171.0,-1342.7704752275026,-53.710819009100106,-0.0,-44.93925639859357,0.75,0.0,0.4683434684793702,-4.4765763131156175,True,desviado,False
