hora,test,s0,s1,s2,s3,error,corr,left,right,kp,kd,estado
11:59:49,1,51,537,897,114,0,-0.01,180,179,0.03,0.02,desviado
11:59:49,1,38,31,27,764,-2.34,-0.08,180,179,0.03,0.02,vuelta_izquierda
11:59:49,1,35,64,42,68,0,0,-40,200,0.03,0.02,recuperacion
11:59:49,1,48,39,28,935,-2.07,-0.07,180,179,0.03,0.02,desviado
11:59:49,1,34,30,23,36,-0.88,-0.02,-40,200,0.03,0.02,recuperacion
11:59:49,1,18,18,22,800,-0.82,-0.03,180,179,0.03,0.02,centrado
11:59:49,1,28,26,16,168,-1.47,-0.04,-40,200,0.03,0.02,recuperacion
11:59:49,1,13,7,52,46,0,0,-40,200,0.03,0.02,recuperacion
11:59:49,1,31,29,24,25,0,0,-40,200,0.03,0.02,recuperacion
11:59:49,1,40,39,17,890,-2.6,-0.08,180,179,0.03,0.02,vuelta_izquierda
11:59:49,1,31,18,0,536,0,0,-40,200,0.03,0.02,recuperacion
11:59:49,1,30,26,737,60,-0.94,-0.03,180,179,0.03,0.02,desviado
11:59:49,1,899,0,7,61,2.1,0.07,179,180,0.03,0.02,desviado
11:59:49,1,23,26,59,42,0,0,200,-40,0.03,0.02,recuperacion
11:59:49,1,838,45,23,57,0.77,0.03,179,180,0.03,0.02,centrado
11:59:49,1,879,33,25,25,2.83,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:49,1,21,17,19,17,0,0,200,-40,0.03,0.02,recuperacion
11:59:49,1,950,27,27,17,1.76,0.06,179,180,0.03,0.02,desviado
11:59:49,1,210,30,21,40,2.16,0.06,200,-40,0.03,0.02,recuperacion
11:59:49,1,22,34,16,14,0,0,200,-40,0.03,0.02,recuperacion
11:59:49,1,860,26,23,22,0.77,0.03,179,180,0.03,0.02,centrado
11:59:49,1,882,36,23,18,2.83,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:49,1,7,34,27,94,0,0,200,-40,0.03,0.02,recuperacion
11:59:50,1,635,39,30,42,2.63,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:50,1,904,29,30,20,2.97,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:50,1,921,30,32,40,3,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:50,1,572,36,24,47,2.25,0.06,200,-40,0.03,0.02,recuperacion
11:59:50,1,922,74,30,172,2.77,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:50,1,25,773,19,28,0.94,0.03,179,180,0.03,0.02,desviado
11:59:50,1,30,30,40,250,0,0,-40,200,0.03,0.02,recuperacion
11:59:50,1,70,830,881,52,0,0,179,180,0.03,0.02,desviado
11:59:50,1,165,729,35,79,0.87,0.03,179,180,0.03,0.02,desviado
11:59:50,1,184,643,24,0,0,0,180,179,0.03,0.02,centrado
11:59:50,1,319,817,31,161,0.61,0.03,179,180,0.03,0.02,centrado
11:59:51,1,28,42,27,57,0.51,0.01,200,-40,0.03,0.02,recuperacion
11:59:51,1,27,15,15,103,0,0,200,-40,0.03,0.02,recuperacion
11:59:51,1,39,31,26,53,0,0,200,-40,0.03,0.02,recuperacion
11:59:51,1,224,824,33,179,0.99,0.03,179,180,0.03,0.02,desviado
11:59:52,1,46,729,889,149,0,0,180,179,0.03,0.02,centrado
11:59:52,1,41,755,878,196,0,0,180,180,0.03,0.02,centrado
11:59:52,1,29,746,876,104,0,0,180,180,0.03,0.02,centrado
11:59:52,1,85,707,891,43,0,0,180,180,0.03,0.02,centrado
11:59:52,1,41,464,898,147,-0.85,-0.03,180,179,0.03,0.02,desviado
11:59:52,1,49,353,874,35,-0.98,-0.03,180,179,0.03,0.02,desviado
11:59:53,1,673,36,23,14,1.93,0.07,179,180,0.03,0.02,desviado
11:59:53,1,0,24,22,97,0,0,200,-40,0.03,0.02,recuperacion
11:59:53,1,68,26,27,39,0,0,200,-40,0.03,0.02,recuperacion
11:59:53,1,50,66,27,124,0,0,200,-40,0.03,0.02,recuperacion
11:59:53,1,755,258,31,94,2.6,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:53,1,880,40,26,55,2.96,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:53,1,50,50,19,45,0,0,200,-40,0.03,0.02,recuperacion
11:59:53,1,936,80,31,65,2.49,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:53,1,714,58,30,153,2.96,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:53,1,163,44,67,107,0,0,200,-40,0.03,0.02,recuperacion
11:59:53,1,934,78,35,168,2.49,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:53,1,33,33,28,80,1.23,0.03,200,-40,0.03,0.02,recuperacion
11:59:53,1,39,24,28,35,0,0,200,-40,0.03,0.02,recuperacion
11:59:53,1,950,39,36,41,2.61,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:53,1,38,33,27,44,0,0,200,-40,0.03,0.02,recuperacion
11:59:53,1,940,32,27,26,2.08,0.07,179,180,0.03,0.02,desviado
11:59:53,1,894,37,24,42,2.91,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:53,1,32,29,22,19,0,0,200,-40,0.03,0.02,recuperacion
11:59:54,1,931,34,30,39,1.75,0.06,179,180,0.03,0.02,desviado
11:59:54,1,911,35,26,34,2.87,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:54,1,40,26,26,42,0,-0.01,200,-40,0.03,0.02,recuperacion
11:59:54,1,110,520,28,122,0.99,0.02,200,-40,0.03,0.02,recuperacion
11:59:54,1,44,231,862,55,0,0,180,179,0.03,0.02,centrado
11:59:56,1,930,868,900,917,-0.63,-0.02,180,179,0.03,0.02,desviado
11:59:56,1,40,28,490,155,-0.53,-0.01,-40,200,0.03,0.02,recuperacion
11:59:56,1,33,798,872,16,-0.53,-0.01,180,179,0.03,0.02,desviado
11:59:56,1,53,881,792,74,0,0,179,180,0.03,0.02,centrado
11:59:56,1,32,889,800,99,0,0,180,180,0.03,0.02,centrado
11:59:56,1,121,881,852,169,0,0,180,180,0.03,0.02,centrado
11:59:56,1,25,678,884,76,0,0,180,180,0.03,0.02,centrado
11:59:56,1,26,86,806,54,-0.93,-0.03,180,179,0.03,0.02,desviado
11:59:56,1,63,859,858,152,0,0.01,179,180,0.03,0.02,desviado
11:59:56,1,160,60,27,127,1.52,0.04,200,-40,0.03,0.02,recuperacion
11:59:56,1,85,106,23,142,0,0,200,-40,0.03,0.02,recuperacion
11:59:56,1,94,38,16,211,0,0,200,-40,0.03,0.02,recuperacion
11:59:56,1,667,129,36,154,0.75,0.03,179,180,0.03,0.02,centrado
11:59:56,1,299,527,25,180,0.78,0.02,200,-40,0.03,0.02,recuperacion
11:59:56,1,41,369,922,284,0,0,180,179,0.03,0.02,centrado
11:59:56,1,14,43,709,233,-0.92,-0.03,180,179,0.03,0.02,desviado
11:59:56,1,45,317,884,26,-0.81,-0.03,180,179,0.03,0.02,desviado
11:59:56,1,35,867,342,114,0,0,179,180,0.03,0.02,centrado
11:59:56,1,134,693,31,179,0.94,0.03,179,180,0.03,0.02,desviado
11:59:56,1,903,56,29,157,2.67,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:56,1,103,52,23,231,0.92,0.02,200,-40,0.03,0.02,recuperacion
11:59:56,1,95,48,29,204,0,0,200,-40,0.03,0.02,recuperacion
11:59:56,1,939,36,28,175,2.06,0.07,179,180,0.03,0.02,desviado
11:59:56,1,56,20,22,85,1.62,0.04,200,-40,0.03,0.02,recuperacion
11:59:57,1,855,26,17,72,0.87,0.04,179,180,0.03,0.02,centrado
11:59:57,1,172,648,31,185,0.99,0.03,179,180,0.03,0.02,desviado
11:59:57,1,113,891,859,199,0,0,180,179,0.03,0.02,centrado
11:59:57,1,38,841,866,246,0,0,180,180,0.03,0.02,centrado
11:59:57,1,49,513,892,186,-0.62,-0.03,180,179,0.03,0.02,centrado
11:59:57,1,70,135,860,311,-0.96,-0.03,180,179,0.03,0.02,desviado
11:59:57,1,37,175,765,248,-1,-0.03,180,179,0.03,0.02,desviado
11:59:57,1,36,51,838,204,-0.76,-0.02,180,179,0.03,0.02,desviado
11:59:57,1,25,888,845,347,0,0,179,180,0.03,0.02,centrado
11:59:57,1,216,887,814,320,0,0,180,180,0.03,0.02,centrado
11:59:58,1,58,887,696,259,0,0,180,180,0.03,0.02,centrado
11:59:58,1,49,864,398,290,0.91,0.03,179,180,0.03,0.02,desviado
11:59:58,1,57,863,535,65,0.99,0.03,179,180,0.03,0.02,desviado
11:59:58,1,103,796,869,289,0,0,180,179,0.03,0.02,centrado
11:59:58,1,28,414,901,124,-0.71,-0.03,180,179,0.03,0.02,desviado
11:59:58,1,34,27,793,56,-0.97,-0.03,180,179,0.03,0.02,desviado
11:59:58,1,38,92,817,195,-0.57,-0.02,180,179,0.03,0.02,centrado
11:59:58,1,34,865,29,104,0.6,0.03,179,180,0.03,0.02,centrado
11:59:58,1,909,16,18,34,2.01,0.07,179,180,0.03,0.02,desviado
11:59:59,1,20,27,23,155,0,0,200,-40,0.03,0.02,recuperacion
11:59:59,1,934,39,28,73,1.75,0.06,179,180,0.03,0.02,desviado
11:59:59,1,153,31,28,154,2.12,0.06,200,-40,0.03,0.02,recuperacion
11:59:59,1,34,60,24,170,0,0,200,-40,0.03,0.02,recuperacion
11:59:59,1,30,26,17,129,0,0,200,-40,0.03,0.02,recuperacion
11:59:59,1,666,30,23,38,2.6,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:59,1,54,37,33,39,0,0,200,-40,0.03,0.02,recuperacion
12:00:00,1,41,23,16,120,0,0,200,-40,0.03,0.02,recuperacion
12:00:00,1,936,48,28,44,1.74,0.06,179,180,0.03,0.02,desviado
12:00:00,1,49,839,848,220,0.65,0.02,179,180,0.03,0.02,desviado
12:00:00,1,37,39,28,913,-1.9,-0.07,180,179,0.03,0.02,desviado
12:00:00,1,47,27,18,89,-0.6,-0.01,-40,200,0.03,0.02,recuperacion
12:00:00,1,27,22,22,417,0,0,-40,200,0.03,0.02,recuperacion
12:00:00,1,30,38,24,927,-2.78,-0.09,180,179,0.03,0.02,vuelta_izquierda
12:00:00,1,29,20,22,18,-0.51,-0.01,-40,200,0.03,0.02,recuperacion
12:00:00,1,28,26,21,18,0,0,-40,200,0.03,0.02,recuperacion
12:00:00,1,33,36,27,910,-2.05,-0.07,180,179,0.03,0.02,desviado
12:00:00,1,25,34,28,39,0,0,-40,200,0.03,0.02,recuperacion
12:00:00,1,45,31,27,647,-2.32,-0.08,180,179,0.03,0.02,vuelta_izquierda
12:00:01,1,34,868,40,28,0,0,179,180,0.03,0.02,centrado
12:00:01,1,25,17,21,64,0.67,0.01,200,-40,0.03,0.02,recuperacion
12:00:01,1,57,45,36,35,0,0,200,-40,0.03,0.02,recuperacion
12:00:01,1,923,61,34,15,2.06,0.07,179,180,0.03,0.02,desviado
12:00:01,1,225,24,23,20,2.18,0.06,200,-40,0.03,0.02,recuperacion
12:00:01,1,23,20,24,26,0,0,200,-40,0.03,0.02,recuperacion
12:00:01,1,951,28,25,15,1.75,0.06,179,180,0.03,0.02,desviado
12:00:06,1,383,27,22,17,2.16,0.06,200,-40,0.03,0.02,recuperacion
12:00:06,1,27,24,22,14,0,0,200,-40,0.03,0.02,recuperacion
12:00:06,1,939,5,31,29,1.33,0.05,179,180,0.03,0.02,desviado
12:00:06,1,926,29,20,34,2.87,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:06,1,21,24,28,58,0.52,0.01,200,-40,0.03,0.02,recuperacion
12:00:06,1,799,61,28,114,2.52,0.08,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,814,35,28,24,2.96,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,881,45,33,76,3,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,876,24,28,78,3,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,739,40,31,20,3,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,784,44,34,161,3,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,759,116,38,40,3,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,937,45,29,128,3,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,24,43,23,77,0,-0.01,200,-40,0.03,0.02,recuperacion
12:00:11,1,22,52,27,114,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,157,29,15,39,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,762,228,46,90,2.14,0.07,179,180,0.03,0.02,desviado
12:00:11,1,850,94,40,90,2.91,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,867,63,26,59,1.85,0.06,179,180,0.03,0.02,desviado
12:00:11,1,916,102,45,110,1.63,0.06,179,180,0.03,0.02,desviado
12:00:11,1,335,186,34,94,1.55,0.04,200,-40,0.03,0.02,recuperacion
12:00:11,1,48,97,871,164,0,0,180,179,0.03,0.02,centrado
12:00:11,1,26,58,809,50,0,0,179,180,0.03,0.02,centrado
12:00:11,1,65,894,58,109,0.58,0.02,179,180,0.03,0.02,centrado
12:00:11,1,75,786,83,4,0.97,0.03,179,180,0.03,0.02,desviado
12:00:11,1,784,156,31,68,1.17,0.04,179,180,0.03,0.02,desviado
12:00:11,1,423,46,35,34,2.07,0.05,200,-40,0.03,0.02,recuperacion
12:00:11,1,42,36,28,51,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,884,87,72,187,1.32,0.05,179,180,0.03,0.02,desviado
12:00:11,1,378,52,40,165,2.08,0.05,200,-40,0.03,0.02,recuperacion
12:00:11,1,47,36,23,88,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,876,170,44,52,2.61,0.08,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,659,110,35,123,2.96,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,34,34,29,64,0,0,200,-40,0.03,0.02,recuperacion
12:00:11,1,862,136,40,104,2.3,0.07,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,941,88,35,137,2.95,0.09,179,180,0.03,0.02,vuelta_derecha
12:00:11,1,50,42,38,87,0.53,0.01,200,-40,0.03,0.02,recuperacion
12:00:11,1,818,20,15,126,0.79,0.03,179,180,0.03,0.02,centrado
